client_id,service_type,ideal_hours_month,hours_nov_jan,30_60,session_rate,expected_hours_3mo,utilization,revenue_nov_jan,avg_monthly_revenue,hours_gap,positive_gap,revenue_share_pct,high_revenue,high_utilization,segment
C001,twice,8,11.0,hour,61.2,24,0.4583333333333333,673.2,224.4,13.0,13.0,0.06813937599635618,True,False,Opportunity
C013,twice,8,17.0,hour,61.2,24,0.7083333333333334,1040.4,346.8,7.0,7.0,0.10530630835800502,True,False,Opportunity
C008,twice,4,6.5,thirty,33.75,12,0.5416666666666666,219.375,73.125,5.5,5.5,0.022204509223411523,False,False,Low impact
C003,once,4,7.0,hour,61.2,12,0.5833333333333334,428.40000000000003,142.8,5.0,5.0,0.0433614210885903,False,False,Low impact
C011,once,4,7.0,hour,61.2,12,0.5833333333333334,428.40000000000003,142.8,5.0,5.0,0.0433614210885903,False,False,Low impact
C002,once,4,9.0,hour,61.2,12,0.75,550.8000000000001,183.60000000000002,3.0,3.0,0.055750398542473246,True,False,Opportunity
C009,once,4,9.0,hour,61.2,12,0.75,550.8000000000001,183.60000000000002,3.0,3.0,0.055750398542473246,True,False,Opportunity
C015,twice,4,9.0,thirty,33.75,12,0.75,303.75,101.25,3.0,3.0,0.0307447050785698,False,False,Low impact
C016,once,2,3.0,thirty,33.75,6,0.5,101.25,33.75,3.0,3.0,0.010248235026189934,False,False,Low impact
C006,twice,4,9.5,thirty,33.75,12,0.7916666666666666,320.625,106.875,2.5,2.5,0.032452744249601456,False,False,Low impact
C007,twice,8,22.0,hour,61.2,24,0.9166666666666666,1346.4,448.8,2.0,2.0,0.13627875199271236,True,True,Anchor
C004,twice,4,10.0,thirty,33.75,12,0.8333333333333334,337.5,112.5,2.0,2.0,0.03416078342063311,False,True,Steady
C017,once,4,11.0,hour,61.2,12,0.9166666666666666,673.2,224.4,1.0,1.0,0.06813937599635618,True,True,Anchor
C005,once,2,5.0,thirty,33.75,6,0.8333333333333334,168.75,56.25,1.0,1.0,0.017080391710316556,False,True,Steady
C012,once,2,5.0,thirty,33.75,6,0.8333333333333334,168.75,56.25,1.0,1.0,0.017080391710316556,False,True,Steady
LIFT,twice,8,24.0,hour,61.2,24,1.0,1468.8000000000002,489.6000000000001,0.0,0.0,0.14866772944659534,True,True,Anchor
C010,once,4,13.0,hour,61.2,12,1.0833333333333333,795.6,265.2,-1.0,0.0,0.08052835345023912,True,True,Anchor
C014,once,2,9.0,thirty,33.75,6,1.5,303.75,101.25,-3.0,0.0,0.0307447050785698,False,True,Steady
